Word,Bouba-Kiki Rank
beyond,83
bg,100
bhutan,83
bi,75
bias,75
bible,80
biblical,81
bibliographic,81
bibliography,83
bicycle,86
bid,83
bidder,83
bidding,86
bids,88
big,83
bigger,83
biggest,86
bike,75
bikes,80
bikini,75
bill,88
billing,86
billion,79
bills,90
billy,90
bin,83
binary,83
bind,88
binding,86
bingo,80
bio,67
biodiversity,79
biographies,77
biography,83
biol,75
biological,75
biology,79
bios,75
biotechnology,81
bird,88
birds,90
birmingham,85
birth,90
birthday,88
bishop,83
bit,83
bite,75
bits,88
biz,83
bizarre,79
bizrate,79
bk,100
bl,100
black,90
blackberry,90
blackjack,89
blacks,92
blade,80
blades,83
blah,88
blair,80
blake,80
blame,80
blank,90
blanket,86
blast,90
bleeding,81
blend,90
bless,90
blessed,86
blind,90
blink,90
block,90
blocked,86
blocking,88
blocks,92
blog,88
blogger,86
bloggers,88
blogging,88
blogs,90
blond,90
blonde,83
blood,80
bloom,80
bloomberg,83
blow,88
blowing,86
blue,75
blues,80
bluetooth,78
blvd,100
bm,100
bmw,100
bo,75
board,80
boards,83
boat,75
boating,79
boats,80
bob,83
bobby,90
boc,83
bodies,75
body,88
bold,88
bolivia,71
bolt,88
bomb,88
bon,83
bond,88
bonds,90
bone,75
bones,80
bonus,80
book,75
booking,79
bookings,81
bookmark,81
bookmarks,83
books,80
bookstore,78
bool,75
boolean,71
boom,75
boost,80
boot,75
booth,80
boots,80
booty,80
border,83
borders,86
bored,80
boring,83
born,88
borough,79
bosnia,75
boss,88
boston,83
both,88
bother,83
botswana,81
bottle,83
bottles,86
bottom,83
bought,83
boulder,79
boulevard,78
bound,80
boundaries,75
boundary,81
bouquet,71
boutique,69
bow,83
bowl,88
bowling,86
box,83
boxed,80
boxes,80
boxing,83
boy,83
boys,88
bp,100
br,100
bra,83
bracelet,81
bracelets,83
bracket,86
brad,88
bradford,88
bradley,86
brain,80
brake,80
brakes,83
branch,92
branches,88
brand,90
brandon,86
brands,92
bras,88
brass,90
brave,80
brazil,83
brazilian,78
breach,83
bread,80
break,80
breakdown,83
breakfast,83
breaking,81
breaks,83
breast,83
breath,83
breathing,83
breed,80
breeding,81
breeds,83
brian,80
brick,90
bridal,83
bride,80
bridge,83
bridges,86
brief,80
briefing,81
briefly,86
briefs,83
bright,92
brighton,88
brilliant,83
bring,90
bringing,88
brings,92
brisbane,81
bristol,86
britain,79
britannica,80
british,86
britney,86
broad,80
broadband,83
broadcast,83
broadcasting,83
broader,79
broadway,81
brochure,81
brochures,83
broke,80
broken,83
broker,83
brokers,86
bronze,83
brook,80
brooklyn,88
brooks,83
brother,86
brothers,88
brought,86
brown,90
browse,83
browser,86
browsers,88
browsing,88
bruce,80
brunei,75
brunette,81
brunswick,89
brush,90
brussels,88
brutal,83
bryan,90
bryant,92
bs,100
bt,100
bubble,83
buck,88
bucks,90
budapest,81
buddy,90
budget,83
budgets,86
buf,83
buffalo,79
buffer,83
bufing,83
bug,83
bugs,88
build,80
builder,79
builders,81
building,81
buildings,83
builds,83
built,80
bulgaria,75
bulgarian,78
bulk,88
bull,88
bullet,83
bulletin,81
bumper,83
bunch,90
bundle,83
bunny,90
burden,83
bureau,67
buried,75
burke,80
burlington,85
burn,88
burner,83
burning,86
burns,90
burst,90
burton,83
bus,83
buses,80
bush,88
business,81
businesses,80
busy,88
but,83
butler,83
butter,83
butterfly,89
button,83
buttons,86
butts,90
buy,83
buyer,80
buyers,83
buying,83
buys,88
buzz,88
bw,100
by,100
bye,83
byte,88
bytes,90
c,100
ca,75
cab,83
cabin,80
cabinet,79
cabinets,81
cable,80
cables,83
cache,80
cached,83
cad,83
cadillac,81
cafe,75
cage,75
cake,75
cakes,80
cal,83
calcium,79
calculate,78
calculated,80
calculation,77
calculations,79
calculator,80
calculators,82
calendar,81
calendars,83
calgary,86
calibration,77
california,75
call,88
called,83
calling,86
calls,90
calm,88
calvin,83
cam,83
cambodia,75
cambridge,83
camcorder,83
camcorders,85
came,75
camel,80
camera,75
cameras,79
cameron,79
cameroon,75
camp,88
campaign,81
campaigns,83
campbell,88
camping,86
camps,90
campus,83
cams,88
can,83
canada,75
canadian,75
canal,80
canberra,81
cancel,83
cancellation,79
cancelled,83
cancer,83
candidate,78
candidates,80
candle,83
candles,86
candy,90
cannon,83
canon,80
cant,88
canvas,83
canyon,83
cap,83
capabilities,75
capability,80
capable,79
capacity,81
cape,75
capital,79
capitol,79
caps,88
captain,79
capture,79
captured,81
car,83
carb,88
carbon,83
card,88
cardiac,79
cardiff,86
cardiovascular,79
cards,90
care,75
career,75
careers,79
careful,79
carefully,83
carey,80
cargo,80
caribbean,78
caring,83
carl,88
carlo,80
carlos,83
carmen,83
carnival,81
carol,80
carolina,75
caroline,75
carpet,83
carried,79
carrier,79
carriers,81
carries,79
carroll,86
carry,90
carrying,88
cars,88
cart,88
carter,83
cartoon,79
cartoons,81
cartridge,83
cartridges,85
cas,83
casa,75
case,75
cases,80
casey,80
cash,88
cashiers,81
casino,75
casinos,79
casio,70
cassette,81
cast,88
casting,86
castle,83
casual,75
cat,83
catalog,79
catalogs,81
catalogue,72
catalyst,88
catch,90
categories,75
category,81
catering,81
cathedral,83
catherine,78
catholic,81
cats,88
cattle,83
caught,83
cause,70
caused,75
causes,75
causing,79
caution,71
cave,75
cayman,83
cb,100
cbs,100
cc,100
ccd,100
cd,100
cdna,88
cds,100
cdt,100
ce,75
cedar,80
ceiling,79
celebrate,78
celebration,77
celebrities,77
celebrity,83
celebs,83
cell,88
cells,90
cellular,81
celtic,83
cement,83
cemetery,81
census,83
cent,88
center,83
centered,81
centers,86
central,86
centre,83
centres,86
cents,90
centuries,78
century,86
ceo,67
ceramic,79
ceremony,81
certain,79
certainly,83
certificate,77
certificates,79
certification,77
certified,78
cet,83
cf,100
cfr,100
cg,100
cgi,83
ch,100
chad,88
chain,80
chains,83
chair,80
chairman,81
chairs,83
challenge,83
challenged,85
challenges,85
challenging,86
chamber,86
chambers,88
champagne,83
champion,81
champions,83
championship,83
championships,85
chan,88
chance,83
chancellor,85
chances,86
change,83
changed,86
changelog,83
changes,86
changing,88
channel,86
channels,88
chaos,80
chapel,83
chapter,86
chapters,88
char,88
character,83
characteristic,82
characteristics,83
characterization,78
characterized,81
characters,85
charge,83
charged,86
charger,86
chargers,88
charges,86
charging,88
charitable,80
charity,86
charles,86
charleston,85
charlie,79
charlotte,83
charm,90
charming,88
charms,92
chart,90
charter,86
charts,92
chase,80
chassis,86
chat,88
cheap,80
cheaper,79
cheapest,81
cheat,80
cheats,83
check,90
checked,86
checking,88
checklist,89
checkout,81
checks,92
cheers,83
cheese,75
chef,88
chelsea,79
chem,88
chemical,81
chemicals,83
chemistry,89
chen,88
cheque,75
cherry,92
chess,90
chest,90
chester,86
chevrolet,83
chevy,90
chi,83
chicago,79
chick,90
chicken,86
chicks,92
chief,80
child,90
childhood,83
children,88
childrens,89
chile,80
china,80
chinese,79
chip,88
chips,90
cho,83
chocolate,78
choice,75
choices,79
choir,80
cholesterol,82
choose,75
choosing,81
chorus,83
chose,80
chosen,83
chris,90
christ,92
christian,83
christianity,83
christians,85
christina,83
christine,83
christmas,89
christopher,86
chrome,83
chronic,86
chronicle,83
chronicles,85
chrysler,94
chubby,92
chuck,90
church,92
churches,88
ci,75
cia,67
cialis,75
ciao,62
cigarette,78
cigarettes,80
cincinnati,80
cindy,90
cinema,75
cingular,81
cio,67
cir,83
circle,83
circles,86
circuit,79
circuits,81
circular,81
circulation,77
circumstances,85
circus,83
cisco,80
citation,75
citations,78
cite,75
cited,80
cities,75
citizen,79
citizens,81
citizenship,82
city,88
citysearch,85
civic,80
civil,80
civilian,75
civilization,75
cj,100
cl,100
claim,80
claimed,79
claims,83
claire,75
clan,88
clara,80
clarity,86
clark,90
clarke,83
class,90
classes,86
classic,86
classical,83
classics,88
classification,79
classified,80
classifieds,82
classroom,83
clause,75
clay,88
clean,80
cleaner,79
cleaners,81
cleaning,81
cleanup,79
clear,80
clearance,78
cleared,79
clearing,81
clearly,86
clerk,90
cleveland,83
click,90
clicking,88
clicks,92
client,83
clients,86
cliff,90
climate,79
climb,90
climbing,88
clinic,83
clinical,81
clinics,86
clinton,86
clip,88
clips,90
clock,90
clocks,92
clone,80
close,80
closed,83
closely,86
closer,83
closes,83
closest,86
closing,86
closure,79
cloth,90
clothes,86
clothing,88
cloud,80
clouds,83
cloudy,83
club,88
clubs,90
cluster,86
clusters,88
cm,100
cms,100
cn,100
cnet,88
cnn,100
co,75
coach,80
coaches,79
coaching,81
coal,75
coalition,72
coast,80
coastal,79
coat,75
coated,75
coating,79
cocktail,81
cod,83
code,75
codes,80
coding,83
coffee,75
cognitive,78
cohen,80
coin,75
coins,80
col,83
cold,88
cole,75
coleman,79
colin,80
collaboration,77
collaborative,77
collapse,81
collar,83
colleague,72
colleagues,75
collect,86
collectables,83
collected,83
collectible,82
collectibles,83
collecting,85
collection,80
collections,82
collective,80
collector,83
collectors,85
college,79
colleges,81
collins,86
cologne,79
colombia,75
colon,80
colonial,75
colony,83
color,80
colorado,75
colored,79
colors,83
colour,75
colours,79
columbia,75
columbus,81
column,83
columnists,85
columns,86
com,83
combat,83
combination,77
combinations,79
combine,79
combined,81
combines,81
combining,83
combo,80
come,75
comedy,83
comes,80
comfort,86
comfortable,82
comic,80
comics,83
coming,83
comm,88
command,86
commander,83
commands,88
comment,86
commentary,85
commented,83
comments,88
commerce,81
commercial,80
commission,80
commissioner,79
commissioners,81
commissions,82
commit,83
commitment,85
commitments,86
committed,83
committee,78
committees,80
commodities,77
commodity,83
common,83
commonly,88
commons,86
commonwealth,83
communicate,77
communication,77
communications,79
communist,83
communities,77
community,83
comp,88
compact,86
companies,78
companion,78
company,86
compaq,83
comparable,80
comparative,77
compare,79
compared,81
comparing,83
comparison,80
comparisons,82
compatibility,81
compatible,80
compensation,79
compete,79
competent,83
competing,83
competition,77
competitions,79
competitive,77
competitors,82
compilation,77
compile,79
compiled,81
compiler,81
complaint,83
complaints,85
complement,85
complete,81
completed,83
completely,85
completing,85
completion,80
complex,86
complexity,85
compliance,80
compliant,83
complicated,82
complications,81
complimentary,85
comply,92
component,83
components,85
composed,81
composer,81
composite,78
composition,77
compound,81
compounds,83
comprehensive,81
compressed,85
compression,82
compromise,80
computation,77
computational,77
compute,79
computed,81
computer,81
computers,83
computing,83
con,83
concentrate,82
concentration,81
concentrations,82
concept,86
concepts,88
conceptual,80
concern,86
concerned,83
concerning,85
concerns,88
concert,86
concerts,88
conclude,81
concluded,83
conclusion,80
conclusions,82
concord,86
concrete,81
condition,78
conditional,77
conditioning,79
conditions,80
condo,80
condos,83
conduct,86
conducted,83
conducting,85
conf,88
conference,80
conferences,82
conferencing,83
confidence,80
confident,83
confidential,79
confidentiality,80
config,83
configuration,77
configurations,79
configure,78
configured,80
configuring,82
confirm,86
confirmation,79
confirmed,83
conflict,88
conflicts,89
confused,81
confusion,78
congo,80
congratulations,80
congress,88
congressional,81
conjunction,82
connect,86
connected,83
connecticut,82
connecting,85
connection,80
connections,82
connectivity,83
connector,83
connectors,85
cons,88
conscious,78
consciousness,81
consecutive,77
consensus,83
consent,86
consequence,77
consequences,79
consequently,83
conservation,79
conservative,79
consider,81
considerable,79
consideration,77
considerations,79
considered,80
considering,82
considers,83
consist,86
consistency,86
consistent,85
consistently,88
consisting,85
consists,88
console,79
consoles,81
consolidated,79
consolidation,77
consortium,80
conspiracy,85
const,90
constant,88
constantly,90
constitute,80
constitutes,82
constitution,79
constitutional,79
constraint,85
constraints,86
construct,89
constructed,86
construction,83
consult,86
consultancy,86
consultant,85
consultants,86
consultation,79
consulting,85
consumer,81
consumers,83
consumption,82
contact,86
contacted,83
contacting,85
contacts,88
contain,79
contained,78
container,78
containers,80
containing,80
contains,81
contamination,77
contemporary,83
content,86
contents,88
contest,86
contests,88
context,86
continent,83
continental,82
continually,82
continue,75
continued,78
continues,78
continuing,80
continuity,80
continuous,75
continuously,79
contract,88
contracting,86
contractor,85
contractors,86
contracts,89
contrary,88
contrast,88
contribute,80
contributed,82
contributing,83
contribution,79
contributions,81
contributor,82
contributors,83
control,86
controlled,85
controller,85
controllers,86
controlling,86
controls,88
controversial,81
controversy,86
convenience,77
convenient,80
convention,80
conventional,79
conventions,82
convergence,82
conversation,79
conversations,81
conversion,80
convert,86
converted,83
converter,83
convertible,82
convicted,83
conviction,80
convinced,83
cook,75
cookbook,75
cooked,75
cookie,67
cookies,71
cooking,79
cool,75
cooler,75
cooling,79
cooper,75
cooperation,73
cooperative,73
coordinate,75
coordinated,77
coordinates,77
coordination,75
coordinator,77
cop,83
cope,75
copied,75
copies,75
copper,83
copy,88
copying,86
copyright,89
copyrighted,86
copyrights,90
coral,80
cord,88
cordless,88
core,75
cork,88
corn,88
cornell,86
corner,83
corners,86
cornwall,88
corp,88
corporate,78
corporation,77
corporations,79
corps,90
corpus,83
correct,86
corrected,83
correction,80
corrections,82
correctly,89
correlation,77
correspondence,82
corresponding,85
corruption,80
cos,83
cosmetic,81
cosmetics,83
cost,88
costa,80
costs,90
costume,79
costumes,81
cottage,79
cottages,81
cotton,83
could,80
council,79
councils,81
counsel,79
counseling,80
count,80
counted,79
counter,79
counters,81
counties,75
counting,81
countries,78
country,86
counts,83
county,83
couple,75
coupled,79
couples,79
coupon,75
coupons,79
courage,71
courier,71
course,75
courses,79
court,80
courtesy,81
courts,83
cove,75
cover,80
coverage,75
covered,79
covering,81
covers,83
cow,83
cowboy,83
cp,100
cpu,83
cr,100
crack,90
cradle,83
craft,90
crafts,92
craig,80
craps,90
crash,90
crawford,88
crazy,90
cream,80
create,75
created,79
creates,79
creating,81
creation,75
creations,78
creative,75
creativity,80
creator,79
creature,75
creatures,78
credit,83
credits,86
creek,80
crest,90
crew,88
cricket,86
crime,80
crimes,83
criminal,81
crisis,83
criteria,75
criterion,78
critical,81
criticism,83
critics,86
crm,100
croatia,71
crop,88
crops,90
cross,90
crossing,88
crossword,89
crowd,90
crown,90
crucial,79
crude,80
cruise,75
cruises,79
cruz,88
cry,100
crystal,93
cs,100
css,100
cst,100
ct,100
ctrl,100
cu,75
cuba,75
cube,75
cubic,80
cuisine,71
cult,88
cultural,81
culture,79
cultures,81
cumulative,75
cup,83
cups,88
cure,75
curious,71
currencies,80
currency,88
current,86
currently,89
curriculum,80
cursor,83
curtis,83
curve,80
curves,83
custody,86
custom,83
customer,81
customers,83
customise,78
customize,78
customized,80
customs,86
cut,83
cute,75
cuts,88
cutting,86
cv,100
cvs,100
cw,100
cyber,90
cycle,90
cycles,92
cycling,93
cylinder,88
cyprus,92
cz,100
czech,90
d,100
da,75
dad,83
daddy,90
daily,80
dairy,80
daisy,80
dakota,75
dale,75
dallas,83
dam,83
damage,75
damaged,79
damages,79
dame,75
dan,83
dana,75
dance,80
dancing,86
danger,83
dangerous,78
daniel,75
danish,83
danny,90
dans,88
dare,75
dark,88
darkness,88
darwin,83
das,83
dash,88
dat,83
data,75
database,75
databases,78
date,75
dated,80
dates,80
dating,83
daughter,81
daughters,83
dave,75
david,80
davidson,81
davis,80
dawn,88
day,83
days,88
dayton,83
db,100
dc,100
dd,100
ddr,100
de,75
dead,75
deadline,75
deadly,83
deaf,75
deal,75
dealer,75
dealers,79
dealing,79
deals,80
dealt,80
dealtime,75
dean,75
dear,75
death,80
deaths,83
debate,75
debian,75
deborah,79
debt,88
debug,80
debut,80
dec,83
decade,75
decades,79
december,81
decent,83
decide,75
decided,79
decimal,79
decision,75
decisions,78
deck,88
declaration,77
declare,79
declared,81
decline,79
declined,81
decor,80
decorating,80
decorative,75
decrease,75
decreased,78
dedicated,78
dee,67
deemed,75
deep,75
deeper,75
deeply,83
deer,75
def,83
default,79
defeat,75
defects,86
defence,79
defend,83
defendant,83
defense,79
defensive,78
deferred,81
deficit,79
define,75
defined,79
defines,79
defining,81
definitely,80
definition,75
definitions,77
degree,75
degrees,79
del,83
delaware,75
delay,80
delayed,79
delays,83
delegation,75
delete,75
deleted,79
delhi,80
delicious,72
delight,86
deliver,79
delivered,78
delivering,80
delivers,81
delivery,81
dell,88
delta,80
deluxe,75
dem,83
demand,83
demanding,83
demands,86
demo,75
democracy,83
democrat,81
democratic,80
democrats,83
demographic,82
demonstrate,82
demonstrated,83
demonstrates,83
demonstration,81
den,83
denial,75
denied,75
denmark,86
dennis,83
dense,80
density,86
dental,83
dentists,88
denver,83
deny,88
department,85
departmental,83
departments,86
departure,78
depend,83
dependence,80
dependent,83
depending,83
depends,86
deployment,85
deposit,79
deposits,81
depot,80
depression,80
dept,88
depth,90
deputy,83
der,83
derby,90
derek,80
derived,79
des,83
descending,85
describe,81
described,83
describes,83
describing,85
description,82
descriptions,83
desert,83
deserve,79
design,83
designated,80
designation,77
designed,81
designer,81
designers,83
designing,83
designs,86
desirable,78
desire,75
desired,79
desk,88
desktop,86
desktops,88
desperate,78
despite,79
destination,77
destinations,79
destiny,86
destroy,86
destroyed,83
destruction,82
detail,75
detailed,75
details,79
detect,83
detected,81
detection,78
detective,78
detector,81
determination,77
determine,78
determined,80
determines,80
determining,82
detroit,79
deutsch,86
deutsche,81
deutschland,86
dev,83
devel,80
develop,79
developed,78
developer,78
developers,80
developing,80
development,82
developmental,81
developments,83
develops,81
deviant,79
deviation,72
device,75
devices,79
devil,80
devon,80
devoted,79
df,100
dg,100
dh,100
di,75
diabetes,75
diagnosis,78
diagnostic,80
diagram,79
dial,75
dialog,75
dialogue,69
diameter,75
diamond,79
diamonds,81
diana,70
diane,70
diary,80
dice,75
dicke,80
