Word,Bouba-Kiki Rank
plant,90
hands,90
terry,90
psychology,90
singh,90
bytes,90
style,90
jimmy,90
sends,90
front,90
grown,90
parts,90
brass,90
merry,90
known,90
lycos,90
slots,90
cross,90
shift,90
drums,90
minds,90
films,90
fatty,90
clock,90
pants,90
lobby,90
egypt,90
punch,90
tanks,90
shelf,90
draft,90
split,90
crown,90
corps,90
texts,90
right,90
burns,90
psychiatry,90
badly,90
shots,90
twist,90
pittsburgh,90
vinyl,90
truth,90
highlights,90
birds,90
worst,90
sunny,90
marks,90
transcript,90
scott,90
spend,90
terms,90
black,90
check,90
chart,90
crack,90
north,90
posts,90
crest,90
bless,90
catch,90
finds,90
hosts,90
fifth,90
blend,90
shell,90
cards,90
small,90
thumb,90
holly,90
dirty,90
think,90
plots,90
tasks,90
craft,90
spell,90
chuck,90
picks,90
spank,90
clubs,90
ralph,90
blind,90
draws,90
betty,90
forth,90
henry,90
tests,90
gross,90
const,90
socks,90
pumps,90
bankruptcy,90
butts,90
happy,90
glass,90
blank,90
forms,90
which,90
tight,90
fresh,90
holds,90
drugs,90
ferry,90
dutch,90
daddy,90
burst,90
first,90
rolls,90
bobby,90
rally,90
blink,90
smith,90
ricky,90
marsh,90
penny,90
trash,90
stops,90
shops,90
sport,90
steps,90
bench,90
stuck,90
dying,90
packs,90
strip,90
thank,90
bills,90
camps,90
brown,90
blond,90
click,90
facts,90
mills,90
ranks,90
clerk,90
patch,90
blast,90
copyrights,90
trips,90
grams,90
links,90
fuzzy,90
lyric,90
turns,90
sorry,90
shirt,90
fonts,90
tommy,90
fancy,90
ports,90
dress,90
strap,90
smart,90
sword,90
angry,90
crowd,90
sells,90
trackbacks,90
cyber,90
risks,90
world,90
paths,90
knock,90
birth,90
kinds,90
rings,90
hints,90
party,90
brush,90
spray,90
fifty,90
blackberry,90
czech,90
randy,90
cindy,90
stand,90
story,90
brick,90
wants,90
bring,90
belly,90
firms,90
welsh,90
plays,90
truly,90
falls,90
crash,90
stack,90
silly,90
chevy,90
bunny,90
bonds,90
carry,90
study,90
hills,90
staff,90
flesh,90
skirt,90
myers,90
drops,90
clips,90
screw,90
dolls,90
kings,90
swift,90
thats,90
drink,90
yards,90
perth,90
strengthen,90
skins,90
lamps,90
grant,90
might,90
tracy,90
yacht,90
month,90
sally,90
truck,90
frost,90
craps,90
light,90
drawn,90
shark,90
flags,90
girls,90
trunk,90
diffs,90
night,90
wendy,90
winds,90
shock,90
storm,90
blogs,90
tract,90
cliff,90
grows,90
walls,90
spots,90
flyer,90
stats,90
stock,90
cells,90
cloth,90
funky,90
perry,90
pitch,90
dryer,90
larry,90
press,90
lists,90
stamp,90
teddy,90
print,90
harry,90
chess,90
johns,90
skill,90
march,90
stars,90
calls,90
newly,90
empty,90
mercy,90
polls,90
wings,90
flash,90
skype,90
